Feature	Importance Score
PPP3R1	0.0037362310104072094
DDR1-DT	0.003438047133386135
AC012414.3	0.003165457397699356
AP001342.1	0.0031514200381934643
SCRIB.31	0.003105930285528302
recurrence_target.1	0.0030653439462184906
AP001783.1	0.0030648275278508663
AC110801.1	0.0030476893298327923
AC060814.4	0.0030154678970575333
RN7SKP137	0.002974078292027116
FTH1P27	0.0029352910351008177
MIR635	0.002926646964624524
PAK2.10	0.002867481904104352
AL139390.1	0.0028277018573135138
MLLT6.4	0.0028268536552786827
recurrence_target.2	0.002826172625645995
AC106791.2	0.0028169332072138786
UBE2V1P1	0.002809640020132065
RPSAP29	0.002808201126754284
AC008958.1	0.002795296721160412
recurrence_target.4	0.002781274728477001
RNU6-516P	0.0027413296047598124
LINC01544	0.002738288603723049
GRASP.1	0.0027090939693152905
STIM2.13	0.0027082478627562523
TFEB	0.0027064261958003044
VAV3-AS1	0.0027041053399443626
OR13D1	0.00269096321426332
AL445471.2	0.002672672038897872
AC016027.4	0.002669344190508127
CACNG3	0.0026650966610759497
recurrence_target.3	0.0026577713433653116
SOWAHD.1	0.0026423251256346703
RBL2.11	0.002638176316395402
FZD6.2	0.0026303520426154137
PRLHR	0.002611770760267973
AC074091.1	0.002605124842375517
CTBP2P5	0.0026029441505670547
IL1F10	0.0026009660214185715
RPL6P12	0.0025931892450898886
VIL1.8	0.002588830888271332
AL645939.6	0.002582704648375511
AC243830.1	0.002580830594524741
SHB.2	0.0025778610724955797
IRS2.20	0.002577538136392832
LNPK.1	0.0025689939502626657
KRT8P43	0.0025645995046943426
AL353803.2	0.0025562664959579706
AC005100.2	0.002554230857640505
AC134879.2	0.002551325364038348
AC027088.3	0.002543305279687047
YTHDC2.5	0.0025405981577932835
VSIG10L2	0.0025391338858753443
ANKRD62	0.002535654231905937
hsa-miR-6785-3p	0.002519474131986499
AC008267.1	0.002510704332962632
LINC01345	0.002506442368030548
AC092134.3	0.002503052121028304
GPR6	0.0025026663206517696
POM121C.2	0.0024988637305796146
CT45A5	0.0024956599809229374
AL645929.2	0.002483827294781804
TSHZ2.2	0.0024740418884903193
STIM1.11	0.0024680541828274727
AC098614.1	0.002440779935568571
PPP1R2P10	0.0024401715490967035
DSP.30	0.002437217626720667
SPDYE7P	0.002434507943689823
DUPD1	0.0024235874880105257
TRA2A.6	0.0024125976487994194
IGLC4	0.0024056010879576206
YBX2P2	0.0024046949110925198
AL450326.3	0.0024027309846132994
MAGI1.1	0.0024021246936172247
LINC01646	0.002398629439994693
ANKRD20A18P	0.002395784016698599
UBE2Q1-AS1	0.0023885234259068966
NFU1P1	0.002385104075074196
AC112482.2	0.0023752753622829914
AC079807.1	0.0023721966426819563
TOMM22P5	0.0023698594886809587
NES.19	0.002369029214605689
AL359711.1	0.002366898814216256
AC026624.1	0.0023650608491152525
AC110741.1	0.002362207742407918
MRPL42P6	0.002358818892389536
AL022332.2	0.002357708290219307
TLN1.22	0.00235419487580657
RN7SKP292	0.0023537734523415565
IGHV3-62	0.0023486996069550514
KDM3A.1	0.002346422988921404
AC093802.2	0.00234607164748013
RANBP2.16	0.0023407055996358395
STAR	0.0023386236280202866
LINC01856	0.002334289951249957
RN7SL285P	0.002332033822312951
SNORD83B	0.0023232370149344206
DRAXINP1	0.0023135363589972258
AC005160.1	0.0023062785621732473
AC005521.1	0.0023059905506670475
AC215522.1	0.0022978316992521286
AL158071.3	0.002288837218657136
hsa-miR-1288-3p	0.0022880956530570984
hsa-miR-3190-3p	0.0022873457055538893
AL513475.2	0.002286330796778202
OR8G3P	0.0022815712727606297
BCCIP	0.002279961481690407
NDUFA5P3	0.002279783831909299
hsa-miR-6754-3p	0.0022768673952668905
CHRNA10	0.002272035228088498
SLC25A48-AS1	0.0022682694252580404
AC128709.2	0.0022630146704614162
AC009268.1	0.0022626540157943964
AC008568.1	0.0022625639103353024
IL1RAP.2	0.0022612321190536022
TMEM163.1	0.0022591871675103903
RAD54L2.1	0.0022589389700442553
TASOR2.9	0.002258406253531575
hsa-miR-6851-3p	0.002252217149361968
RPS3AP30	0.002250336343422532
AL592071.1	0.0022483947686851025
RNU6-885P	0.0022482851054519415
TAS2R9	0.0022464818321168423
SLC22A10	0.0022456475999206305
AC090527.3	0.0022429039236158133
RPL21P2	0.002240920439362526
TET2-AS1	0.002238880842924118
FAM9B	0.002235664986073971
AC010163.3	0.0022322849836200476
GAPDHP57	0.00222965725697577
WDR89	0.002227653516456485
SSXP10	0.0022187044378370047
TERF1P5	0.0022175749763846397
LINC01668	0.002214817563071847
HSPD1P21	0.0022139311768114567
AL162713.1	0.002213562373071909
RN7SKP130	0.00221285130828619
TRIM55	0.0022091963328421116
AC004862.1	0.002206646604463458
AC011518.1	0.0022047057282179594
GAPDHP54	0.0021942397579550743
AC106791.3	0.0021927200723439455
hsa-miR-5087	0.0021913510281592607
LINC02153	0.0021911058574914932
RNU6-244P	0.002189383842051029
ZMYM2.3	0.0021838853135704994
RNU1-56P	0.002183576114475727
IQCF1	0.002180250361561775
hsa-miR-519a-5p	0.002179816598072648
CAPS2-AS1	0.0021797141525894403
AC060766.6	0.002179153962060809
SBF1P2	0.0021791167091578245
RBBP8P1	0.0021781441755592823
DUX4L34	0.0021780545357614756
AL160279.1	0.002177952788770199
IGKV1OR2-118	0.0021769062150269747
hsa-miR-3141	0.002172961598262191
AC108210.2	0.002172888722270727
hsa-miR-658	0.002168047707527876
RPL6P25	0.002166413003578782
THYN1	0.002165861427783966
AP002528.1	0.002164349891245365
CASC3.7	0.0021633319556713104
NOS3.2	0.0021606779191643
RN7SKP55	0.002159605734050274
RPL21P99	0.0021595656871795654
LINC00424	0.0021588585805147886
H3-2	0.0021576834842562675
AC005332.7	0.002157587790861726
HNRNPM.7	0.0021546287462115288
TPTE2	0.0021505870390683413
HAUS1	0.0021489791106432676
hsa-miR-4689	0.0021471932996064425
AC008567.1	0.0021459939889609814
FOXK2.3	0.0021425525192171335
CPNE3.2	0.0021418596152216196
AC130366.1	0.002135987626388669
AC092435.1	0.0021352965850383043
AC084018.4	0.002135138725861907
AC023095.1	0.002134449779987335
MTCYBP29	0.00213352357968688
AC025183.1	0.0021333557087928057
AL451166.1	0.002132127061486244
FOXL3	0.0021282671950757504
AL133410.3	0.0021279507782310247
AC063926.2	0.0021278774365782738
TRBV10-2	0.0021265691611915827
RNU2-42P	0.002122456906363368
AC005871.2	0.002121429657563567
LUZP1.5	0.0021207118406891823
ATP5MFP4	0.0021206806413829327
ARHGEF7-AS2	0.0021193518768996
AC005808.1	0.002118667820468545
IGLV7-46	0.0021170892287045717
EEF2.2	0.0021157232113182545
AP001476.2	0.002115315990522504
AC106800.3	0.002113345544785261
YTHDC2.9	0.002113025402650237
BCLAF1.22	0.0021107823122292757
AC024603.1	0.0021091511007398367
TAS1R2	0.0021081077866256237
GAPDHP58	0.002108080079779029
MYCNUT	0.002107903128489852
LACRT	0.00210758438333869
AC103810.9	0.0021069468930363655
PCNT	0.002103595295920968
hsa-miR-4646-3p	0.0021017284598201513
hsa-miR-4651	0.002100549638271332
AOX3P	0.0020980353001505136
AP001453.3	0.00209794077090919
AC133485.6	0.0020969489123672247
C17orf80	0.0020961910486221313
TEX38	0.002093617105856538
RPL19P20	0.0020919395610690117
AC007317.2	0.002091649454087019
AC008871.1	0.002089502988383174
SNORD49B	0.0020893788896501064
ASS1P5	0.0020888096187263727
AC114876.1	0.0020870326552540064
TEPP	0.0020858331117779016
AC007448.3	0.0020839604549109936
HIPK1-AS1	0.0020837734919041395
ACMSD	0.00208327267318964
AP000873.4	0.0020822652149945498
hsa-miR-6820-5p	0.0020821287762373686
SLC2A4	0.0020816705655306578
AC009135.2	0.0020810929127037525
FGA.18	0.00208069896325469
AC092435.2	0.002077748766168952
DR1.1	0.0020759885665029287
GRM7-AS1	0.0020727538503706455
AC092353.1	0.0020722774788737297
KCNA4	0.0020722069311887026
hsa-miR-4493	0.002071811119094491
AC019294.1	0.002071790862828493
AL049780.3	0.0020689466036856174
RN7SKP43	0.0020689391531050205
CICP11	0.002068018075078726
CDYL.3	0.002066949848085642
JAK2.1	0.0020666709169745445
RASA3-IT1	0.0020653121173381805
SLMAP.1	0.002063044114038348
PNMA6E	0.00206234073266387
ZC3H4.14	0.002061775652691722
AC135068.9	0.002060008468106389
FAM9A	0.0020599679555743933
AC093416.2	0.0020599495619535446
TRA2A.5	0.0020597316324710846
OFD1P6Y	0.002058109501376748
PASD1	0.0020549511536955833
RFPL3	0.002054902259260416
PIAS1	0.00205351528711617
AC098847.1	0.0020519772078841925
AC090517.3	0.0020513348281383514
USP9YP2	0.0020501106046140194
AC060234.1	0.00204677227884531
LINC02312	0.002044491469860077
AL137074.1	0.0020436325576156378
AC087235.2	0.002042568987235427
PTPRK.1	0.002042427659034729
RPL27P7	0.002041734056547284
AC093791.2	0.0020408162381500006
AC073571.1	0.002040247432887554
EHBP1	0.0020401657093316317
POLR3E.1	0.002039758488535881
IDI2	0.0020379230845719576
OR10J3	0.0020347789395600557
AC025260.2	0.0020347677636891603
TACR3	0.002034588949754834
SF3A3P1	0.0020342287607491016
AL391261.3	0.0020333146676421165
AL021918.1	0.002032511867582798
RPL27AP	0.0020297286100685596
BPIFA2	0.002029218478128314
LINC01069	0.002027729991823435
AC015967.1	0.002027442678809166
AL133547.1	0.0020241697784513235
AP000779.1	0.002023993292823434
AC083855.1	0.0020218081772327423
AC004784.1	0.002021362539380789
AF131216.5	0.0020150914788246155
KCTD2	0.0020149119663983583
CDX4	0.002014844212681055
AC121338.1	0.0020148137118667364
EPX	0.002013591816648841
BCRP9	0.0020127049647271633
RNU6-548P	0.0020100988913327456
AC106872.5	0.0020094665233045816
DPRXP7	0.0020043652039021254
SRRM2.68	0.002003598492592573
IGKV1OR22-1	0.0020028504077345133
MTATP8P2	0.0020023377146571875
AC108673.3	0.0019992871675640345
hsa-miR-1249-5p	0.0019982680678367615
AL132780.3	0.001997398678213358
AP006248.4	0.001993972808122635
PTPN2P2	0.001992614008486271
AL445648.1	0.001990207703784108
CCDC144NL	0.0019901010673493147
GOLGA6C	0.0019881597254425287
AC023245.2	0.0019863091874867678
AC024084.2	0.0019859776366502047
HNRNPA1P11	0.001982879126444459
NECTIN1	0.001980469562113285
AC115284.3	0.0019789317157119513
AL034410.1	0.001978270011022687
MMP26	0.0019780644215643406
POLL	0.0019750602077692747
AC245517.3	0.001974300481379032
AL445531.1	0.0019716289825737476
ZSCAN1	0.0019706811290234327
LINC01937	0.001969006611034274
AC084759.3	0.00196703989058733
AC090921.1	0.0019648268353194
AC097374.1	0.0019618915393948555
AL355838.1	0.0019603490363806486
LINC02448	0.0019600943196564913
AL137798.1	0.001960054272785783
AC110602.1	0.001959810499101877
AC034245.1	0.001958767417818308
AC112492.1	0.0019584945403039455
RN7SL382P	0.0019573259633034468
AC073218.1	0.001956750638782978
AC079316.2	0.0019567220006138086
AC068205.1	0.0019527506083250046
RPL10P10	0.00195063347928226
LINC02357	0.0019498204346746206
AC005102.1	0.0019477314781397581
IGHV3-13.1	0.0019465119112282991
MIR3934	0.0019463133066892624
IL6STP1	0.0019451306434348226
RARG	0.001944967545568943
PITPNM1.2	0.0019445233047008514
YAP1	0.0019439990865066648
VSIR.4	0.0019436810398474336
CABYRP1	0.0019420630997046828
AC002472.3	0.0019415967399254441
DENND6A	0.0019413497066125274
SLC25A16	0.0019390614470466971
CELF1.1	0.0019389756489545107
AC013489.1	0.001938547589816153
AC073288.1	0.0019383021863177419
LINC01621	0.0019363777246326208
MMEL1-AS1	0.0019361646845936775
hsa-miR-378b	0.0019359900616109371
LMNB2.7	0.0019357785349711776
AC040168.2	0.0019356681732460856
AL049749.1	0.0019348188070580363
FAM171A1.6	0.0019344533793628216
ARHGAP23P1	0.0019340224098414183
OR2T29	0.0019336804980412126
RBM15.12	0.0019327221671119332
AC099786.2	0.0019323484739288688
AC025884.3	0.0019322349689900875
AL133396.1	0.0019314695382490754
TRAV8-5	0.0019312507938593626
GOT1L1	0.0019276546081528068
LINC01514	0.001927573699504137
FTLP16	0.0019235912477597594
AC104126.1	0.0019208912272006273
AL162464.2	0.0019203675910830498
VN1R54P	0.0019202171824872494
KMT2B.9	0.0019190713064745069
AL139193.1	0.0019176083151251078
AC091885.2	0.00191710633225739
LINC02053	0.0019154060864821076
AC020636.2	0.0019153050379827619
PNMA6B	0.0019146637059748173
ERC2-IT1	0.0019133591558784246
ANAPC10	0.0019124556565657258
AC107909.2	0.0019115335308015347
AC113367.3	0.0019115060567855835
SELENOO	0.0019106848631054163
ENOX1-AS2	0.0019102486548945308
EEA1.3	0.0019097886979579926
ATP5MGL	0.001908308477140963
AL353604.1	0.0019079174380749464
RN7SL630P	0.0019065211527049541
FOXK2.5	0.001906376564875245
LINC02873	0.0019060055492445827
AL445363.1	0.0019059578189626336
KRT18P33	0.0019058886682614684
PRRC2C.18	0.001905821030959487
AC215522.3	0.0019057290628552437
SMARCC1.5	0.0019049212569370866
AL157884.3	0.001903876313008368
AC008751.3	0.001903626834973693
ANKRD52	0.0019033943535760045
CYP4Z2P	0.0019025687361136079
AL033380.1	0.0019020308973267674
AC078883.2	0.0019007077207788825
LINC01435	0.0018998950254172087
AC092120.3	0.0018990210955962539
PPL	0.0018983318004757166
HIGD1AP16	0.0018973564729094505
IFNA17	0.001896787085570395
IWS1.11	0.0018965665949508548
PRDM10.1	0.0018949878867715597
AC004835.1	0.0018923701718449593
AC074011.1	0.0018917680718004704
AC090971.5	0.0018917241832241416
AC103808.3	0.0018916211556643248
RNU6-204P	0.0018893633969128132
NCBP2L	0.001888876548036933
AC106799.2	0.0018858752446249127
L3MBTL2	0.0018835716182366014
RSL24D1P11	0.0018828792963176966
MBD1.4	0.0018822957063093781
AC124916.2	0.001881641917861998
AP000944.1	0.0018815272487699986
GLRXP1	0.001881133415736258
AP003355.2	0.001880917465314269
NXNP1	0.0018795494688674808
LINC01692	0.0018785614520311356
MIR4326	0.0018772269831970334
AP000557.3	0.0018770095193758607
SNORD96A	0.0018769005546346307
AL109936.2	0.0018759840168058872
RBMS1	0.0018747241701930761
RPS20P1	0.0018746106652542949
BTBD8	0.0018738798098638654
CCDC182	0.0018735111225396395
COTL1P1	0.0018716152990236878
AC023274.1	0.0018704618560150266
ME2P1	0.0018687694100663066
RPL31P14	0.0018670741701498628
KF456478.1	0.0018663371447473764
LPIN2.4	0.001864493591710925
RPS15AP27	0.001864386023953557
AC010857.1	0.0018626772798597813
RPS15AP28	0.0018616265151649714
R3HDM1	0.0018609475810080767
SPRR1A	0.0018598528113216162
SNORD113-4	0.0018594034481793642
AP000529.1	0.0018569870153442025
AC123567.1	0.0018569143721833825
AC084782.1	0.0018568964442238212
EIF4EP3	0.001856706803664565
AL451137.2	0.0018548343796283007
RNU6-42P	0.0018545044586062431
DCLRE1CP1	0.0018540925811976194
NR2E1	0.0018531440291553736
AC008568.2	0.0018511615926399827
AC114498.2	0.001850391854532063
KRT18P26	0.0018500464502722025
AC004597.1	0.001849795808084309
AC099066.3	0.0018496025586500764
AC008127.2	0.0018492455128580332
PDYN-AS1	0.001848804298788309
SIK2.1	0.001847677631303668
AC010424.3	0.0018470953218638897
KMT2A.7	0.0018467747140675783
CCDC201	0.0018446085741743445
AC116353.1	0.0018420632695779204
AC017015.1	0.0018419631524011493
TTTY9B	0.001841493882238865
AC079336.1	0.0018414510414004326
TRAF5	0.001840892480686307
BIN3	0.001840886427089572
AL451062.4	0.0018404809525236487
