Feature	Number of Connections
TTPA	29
AC244636.3	25
hsa-miR-130a-3p	23
DNM2	17
APC.18	14
AC027338.2	13
MARCKS.15	13
CHAMP1.17	13
hsa-miR-1227-3p	13
CDC42EP2	12
NIBAN3	12
IL18RAP	11
RYBP.2	10
ZBTB45P1	10
RBP7	10
SYT14	9
AC011352.2	9
DDX11	9
CSH1	9
HMGA2.2	9
FTH1.2	9
NBEA	9
NOS3.2	9
AC084782.1	9
AP2S1	9
PTAFR	8
CAVIN2.9	8
TRBV7-6	8
RPL12P35	8
PTPN7.1	8
PSMB8.1	8
PRKCSH	8
RP9P	8
SPINDOC	8
STAP1	8
hsa-miR-507	8
CDR2	8
VCL.7	8
SELL	8
HMSD	7
AC010201.2	7
FAM221B	7
NIBAN2.6	7
AC103974.2	7
IGKV4-1	7
RANBP2.8	7
ZNF285	7
AC114956.2	7
BRD7P4	7
TIAM1	7
AC010186.1	7
AC005180.1	7
FER1L6.1	6
MCM2.2	6
AC040169.1	6
GIMAP6	6
RARG	6
hsa-miR-33a-5p	6
AC025857.1	6
AF111169.2	6
SBNO1	6
ATAD1	6
LINC02222	6
PHF12	6
hsa-miR-6787-5p	6
F13B	6
RPL27AP	6
CSPG4P10	6
DOK2	6
PRKAG2.6	6
DNAJC5B	6
IL2RA	6
STON2	6
NUP58	6
AL360178.1	6
UBTF	6
MTPAP	6
AC093770.1	6
AL451069.2	6
RCSD1.3	6
KDM3A	6
GAL3ST1	5
AGFG2.1	5
AL445433.2	5
VPREB3	5
AC080023.2	5
HLA-F	5
ASNSP1	5
SIK2.3	5
AC244452.3	5
INTS6-AS1	5
LRRC8C	5
IKBKE	5
AP000944.3	5
CCDC181	5
ARHGAP23	5
IGLCOR22-1	5
AC132938.2	5
ST3GAL1	5
FERMT3	5
PPM1M	5
RNU6-885P	5
LONP1	5
NFU1P1	5
AC104958.2	5
NFKBIL1	5
CNTRL	5
NFYBP1	5
ENO1.5	5
NHS.2	5
MCM2.4	5
AL139330.1	5
YWHAG	5
AC092943.2	5
hsa-miR-3150a-3p	5
PPAN	4
LINC02779	4
RPL13AP6	4
RPL27P12	4
CYP4F2	4
SPATA33	4
AC010485.1	4
AC020651.1	4
AC007663.3	4
SRRM2.168	4
RBM10.3	4
FRG2C	4
AC093620.1	4
AC245100.8	4
AL928711.1	4
MIR381HG	4
AC090373.1	4
AC008708.2	4
RRS1	4
DHCR7.1	4
SATB2.10	4
RNU6-24P	4
SEPTIN8	4
ORAI2	4
CYCSP34	4
RNF43	4
AC245100.1	4
ARHGEF10	4
CARTPT	4
ZP3P2	4
TET2-AS1	4
CERS6.1	4
PWP1.1	4
PRR5-ARHGAP8	4
CENPNP1	4
ASPA.1	4
MT1L	4
MMP2-AS1	4
MOCS3	4
FBXL8	4
MFSD4BP1	4
LINC01839	4
IGLC5	4
AC100778.2	4
ALOX15P1	4
SRRM2.3	4
GTF2IP23	4
recurrence_target.3	4
IGHV1OR15-9	4
YTHDF3	4
CTTNBP2NL.3	4
DDX27	4
HLA-DPA1.1	4
DDX11L8	4
AL162740.1	4
NBAS.2	4
hsa-miR-34a-3p	4
AC087645.1	4
DAZAP1	4
FCSK	4
AC012676.4	4
AC097493.3	4
PLEKHS1.1	4
SLAMF1	0
STAT3	0
AC105074.1	0
AL157955.1	0
DOCK2	0
ADGRE2	0
FSCN1	0
ZNF358	0
CTDSP1	0
Z69720.2	0
PRELID3A	0
ACIN1.16	0
LINC01435	0
CRYBG1	0
hsa-miR-885-3p	0
AC020907.3	0
MCTP1	0
ZNF804A	0
GNG10	0
COMMD6	0
INTS6	0
AC092546.1	0
TATDN3	0
TSNARE1	0
hsa-miR-1181	0
MYO1D	0
TSPAN13	0
KCTD2	0
AC024060.2	0
SACS.1	0
LINC01358	0
STK38	0
AC106028.1	0
SLC16A6	0
AC116317.1	0
TMEM238	0
AP001458.2	0
EXOC7.1	0
CD3E	0
ADAMTSL2	0
IGLC7	0
AC005808.1	0
hsa-miR-129-1-3p	0
